,x,y,change
97733,-66.42009484242423,18.44275267,-3.757953000000004
98104,-66.42000014545454,18.45436267,-0.8231746666666702
98105,-66.42000014545454,18.45427267,-0.8170606666666664
98605,-66.41990544848484,18.45427267,-1.266937166666665
98606,-66.41990544848484,18.45418267,-1.4924041666666703
99120,-66.41981075151514,18.45292267,-0.37052333333333465
99619,-66.41971605454545,18.45301267,-0.11197533333333354
99624,-66.41971605454545,18.45256267,-1.2727453333333294
99748,-66.41971605454545,18.44140267,-0.21763649999999757
100118,-66.41962135757575,18.45310267,-4.130170333333336
100248,-66.41962135757575,18.44140267,-2.279553499999995
100249,-66.41962135757575,18.44131267,-2.583494499999997
100251,-66.41962135757575,18.44113267,-0.89454383333333
100601,-66.41952666060605,18.45463267,-1.3697881666666625
100602,-66.41952666060605,18.45454267,-1.5603720000000045
100618,-66.41952666060605,18.45310267,-4.600739166666667
101101,-66.41943196363636,18.45463267,-1.6771940000000036
101102,-66.41943196363636,18.45454267,-2.4461576666666645
101118,-66.41943196363636,18.45310267,-0.8240798333333323
101601,-66.41933726666666,18.45463267,-1.6117728333333297
101631,-66.41933726666666,18.45193267,-2.1252013333333295
102616,-66.41914787272727,18.45328267,-2.455748
102804,-66.41914787272727,18.43636267,-5.582821666666664
102805,-66.41914787272727,18.43627267,-5.822978333333335
103129,-66.41905317575757,18.45211267,-2.754623333333331
103629,-66.41895847878787,18.45211267,-3.8996213333333287
103751,-66.41895847878787,18.44113267,-2.02919683333333
103752,-66.41895847878787,18.44104267,-2.210266999999998
104116,-66.41886378181817,18.45328267,-2.064848999999999
104128,-66.41886378181817,18.45220267,-2.7348366666666664
104129,-66.41886378181817,18.45211267,-3.4234045
104212,-66.41886378181817,18.44464267,-5.039454333333332
104213,-66.41886378181817,18.44455267,-6.264116500000002
104214,-66.41886378181817,18.44446267,-7.321894833333332
104628,-66.41876908484848,18.45220267,-1.6022773333333298
105123,-66.41867438787878,18.45265267,-8.195606666666663
105124,-66.41867438787878,18.45256267,-7.9055624999999985
105614,-66.41857969090908,18.45346267,-2.3293219999999977
105624,-66.41857969090908,18.45256267,-7.178125499999997
105625,-66.41857969090908,18.45247267,-4.5005529999999965
105627,-66.41857969090908,18.45229267,-1.5045980000000014
106126,-66.41848499393939,18.45238267,-2.9678376666666644
106127,-66.41848499393939,18.45229267,-4.24912216666667
